Competition	Year
Speedo Sectionals - Eastern - Buffalo	2017
Southern California Swimming June Age Group Invitational	2017
NC LC AG Championships	2017
AZ Phoenix Summer Invitational	2017
PNSC Easter Meet 2017	2017
CA GWSC/SCS Senior Region	2017
NJ EEX Jeffrey S Mace Memorial Summer	2017
OH MAKO LC Junior Olympic	2017
MD LSC LC Championship Meet	2017
MI 13/14 & Open LCM State Meet	2017
Georgia Age Group LCM State Championship	2017
Golden West Senior Meet	2017
CA SCS Summer JO at Santa Clarita	2017
LE Jerry Holtrey Summer Invite	2017
Cactus Classic	2017
SI LC Junior Olympics	2017
CA SCS Summer JO at Riverside	2017
MN AQJT Aquajets Summer I	2017
NE HARV 11-14 AG CHAMPIONSHIPS	2017
PEAK LC May Open Meet	2017
WDSC Long Course "No Frills" Invitation Meet	2017
OSI 11 & Over Championships	2017
HI Age Group LCM Champion	2017
MSI Long Course State Cha	2017
Missoula Firecracker	2017
Wilton Wahoos Summer Invitational	2017
CO JH Summer Invite	2017
Mid-Summer Dash	2017
Frost Bank Invitational	2017
MD NBAC Mid Summer Classic	2017
FGC Junior Olympics Long Course	2017
ST TXLA Texas Open	2017
NC HPSC Tar Heel State	2017
CA Buena/SCS - June Age Group Champs	2017
GU FCST Summer Splash	2017
MD NBAC Spring LC Invitation	2017
Reykjavik International Games	2017
ST TXLA Longhorn Aquatics 11 & Over	2017
Falfin Long Course Invitational	2017
OH Swimming LC Senior Championships (Tim Meyers)	2017
MI Club Wolverine Summerf	2017
FL BSS TYR Summer Classic	2017
MT BOZ May Classic	2017
PC PLS Long Course Senior Open	2017
Campeonatos de Inverno de Lisboa	2017
2017 Eastern Ontario LC Region	2017
PVS LC Age Group Championships	2017
AZ DTAC June ABC Meet	2017
MI OLY Summer Classic	2017
Dr. Ralph Hicken Swim Internat	2017
89th Ohio valley championship	2017
South Texas Age Group (STAGS) LC Championship	2017
ST AAAA Alamo FiestAAAA	2017
MR LIE June Jamboree	2017
AAU Junior Olympics	2017
Robert F. Busbey Invitational	2017
Adirondack Long Course Championships	2017
NJ HACY LC Silver/Bronze Championships	2017
U.S. Open Time Trials	2017
35. Internationales Hi-Point Meeting	2017
Phillips 66 National Championship Time Trials	2017
2017 Zonal Championships	2017
Denver LCM Pentathlon	2017
SE GPAC Tom Lalor Invitatational	2017
Victorian Sprint Championships	2017
New Zealand Secondary School Champs	2017
CA ROSE Everything Coming Up Roses	2017
MN MFLY Friday Night Flig	2017
FAST FEBRUARY LC CLOSED INVITATIONAL	2017
Hamilton Aquatics Winter Long	2017
GO Kingfish Gee-Gees Invite 20	2017
MN HOP Spring Opener	2017
New South Swimming Invitational	2017
MLC Aquatic State Race Practic	2017
AZ Phoenix Spring Invitational	2017
Oahu grand prix	2017
GA SCAT Sizzlin Summer Invitational	2017
MR Long Course Junior Olympics	2017
LC FISH Derby	2017
2017 Ontario Launch into Long	2017
NT LAC Bil Nixon	2017
Welcome to Long Course 2017	2017
IA CRAA Long Course Kick Off	2017
2017 Maine International Championship	2017
GU Long Course Age Group Championships	2017
Merlion Sprint Festival 2017	2017
NC WAVE Sprint Into Spri	2017
GO Kingfish Polar Plunge 2017	2017
2017 Nunawading Long Course Me	2017
GA Kevin Bacon Invite	2017
2017 Festival of Spring	2017
NC NCAC Tarheel States Long Course Invitational	2017
IL YMCA LC State Championship	2017
OH AP BASH PCY Summer Classic	2017
Swim BC AA Championship	2017
Cannonball Classic	2017
PN VAST Summer Sprints	2017
Distance-Sprint Meet	2017
39th Annual Seahawk Invitation	2017
Aggieland April Open	2017
OH OSSC Spring into Summer Splash	2017
Meet on the hill	2017
MP Closed Senior Meet	2017
MD NCAP Invite	2017
FG POMP Jesse Vassallo Invite	2017
Sarasota Sharks Open	2017
IL AGE GROUP LC CHAMPIONSHIPS	2017
Speedo Sectional Time Trials	2017
June Gulf Open Meet	2017
WI PX3 July Invite	2017
TWST Senior Open Meet	2017
OZ CSP 79th summer invitational	2017
USA Swimming Futures Championships (Santa Clara) - Time Trials	2017
Arizona Long Course Open	2017
Arena Pro Time Trials - Mesa	2017
Swim England Winter Champs	2017
FG CSSC Open Invite	2017
MI USSC June Splash Bash	2017
MI SMAC July "Last Chance	2017
Winter Haven Stingrays Rowdy Cup	2017
AZ Beat the Heat Classic	2017
FL TCA H2O Zone Summer Long Course	2017
La Mirada Armada LC Metro Champs	2017
MT HLST Last Chance Invit	2017
CA RMDA La Mirada Senior meet	2017
HI Senior Meet	2017
PV LC Open 1 (PAC)	2017
NJ PTAC Tiger Challenge	2017
OH CM Pepsi Cola Spring I	2017
Spring Long Course Classic	2017
PV OCCS Speedo Spring Splash LC	2017
2017 MI CW July Closed Meet	2017
Fairfax Outdoor Swim Meet	2017
MI JAWS Long Course Challenge	2017
West Pomeranian Grand Prix (Poland)	2017
Pacific Swim A/B All Ages LC Meet	2017
Friday Night Flight(May)	2017
Kingsport Piranhas 2017 Long Course Finale	2017
AZ May Dayz Beach Party Meet	2017
Arena Pro Swim Series - Atlanta Time Trials	2017
CO TOPS Zone 2 District M	2017
MN Wolf LC All About That Race	2017
Arena Pro Swim Series - Austin Time Trials	2017
NC NCAC Quad Meet	2017
CO TOPS TYR Catch Me Open	2017
GU FCST Gulf Open Meet	2017
IN BA SRS LCM TIME TRIA	2017
Coast Aquatics Surf & Swim Classic	2017
Lake Erie LC Age Group Championships	2017
NJ BAC Summer Champs	2017
SI CSA AB All Ages Meet	2017
Gulf Summer Champs - peak	2017
ST NTRO Nitro Distance Me	2017
VA Summer Awards	2017
Lakewood Invite LCM, BRW	2017
Minnesota Regional Championships	2017
MI JAWS First Chance Invi	2017
2018 IE VS Starlight Open	2018
Russian National Championships	2018
FINA Swimming World Cup - Kazan	2018
Phillips 66 Summer National Championships	2018
26th Uster International Swim Meet	2018
TYR Pro Swim Series at Columbus	2018
GA SCAT Atlanta Classic Swim Meet	2018
FINA Swimming World Cup - Doha	2018
TYR Pro Swim Series - Atlanta	2018
USA Swimming Winter National Championships	2018
Swim Cup The Hague	2018
TYR Pro Swim Series - Indianapolis	2018
Speedo Grand Challenge	2018
CA MVN Fran Crippen Memorial Swim Meet of Champions	2018
TYR Pro Swim Series - Austin	2018
TYR Pro Swim Series at Mesa	2018
